Symbol,Name,Price (Intraday),Change,% Change,Volume,50 Day Average,200 Day Average
CNRG,SPDR Kensho Clean Power ETF,67.15,+1.88,+2.88%,"24,211",63.99,63.90
BLOK,Amplify Transformational Data Sharing ETF,36.92,+0.99,+2.76%,"206,673",34.34,29.45
BLCN,Siren Nasdaq NexGen Economy ETF,27.16,+0.71,+2.68%,"17,752",26.33,23.96
EWW,iShares MSCI Mexico ETF,61.75,+1.23,+2.03%,2.816M,61.85,63.34
EWD,iShares MSCI Sweden ETF,41.62,+0.78,+1.91%,"115,096",40.86,38.00
ITB,iShares U.S. Home Construction ETF,108.58,+2.02,+1.90%,4.324M,104.20,98.14
KARS,KraneShares Electric Vehicles and Future Mobility Index ETF,21.11,+0.38,+1.83%,"11,149",21.10,22.92
XHB,SPDR S&P Homebuilders ETF,108.56,+1.85,+1.73%,3.64M,103.80,95.06
CHIQ,Global X MSCI China Consumer Discretionary ETF,17.61,+0.29,+1.67%,"58,642",18.17,17.48
PTF,Invesco Dorsey Wright Technology Momentum ETF,64.32,+0.96,+1.52%,"12,829",59.81,52.59
BBAX,JPMorgan BetaBuilders Developed Asia Pacific ex-Japan ETF,50.67,+0.75,+1.50%,2.334M,49.11,47.43
FTXL,First Trust Nasdaq Semiconductor ETF,104.92,+1.51,+1.46%,"32,066",96.29,83.27
PSCI,Invesco S&P SmallCap Industrials ETF,125.15,+1.80,+1.46%,"11,145",121.71,114.14
VCR,Vanguard Consumer Discretionary Index Fund ETF Shares,326.14,+4.56,+1.42%,"262,153",309.93,297.09
PSCT,Invesco S&P SmallCap Information Technology ETF,49.06,+0.68,+1.42%,"112,946",46.78,45.28
ISMD,Inspire Small/Mid Cap ETF,36.22,+0.50,+1.41%,"194,910",34.94,33.30
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,71.19,+0.97,+1.38%,"173,295",69.38,59.96
LIT,Global X Lithium & Battery Tech ETF,41.42,+0.56,+1.37%,"344,697",42.74,45.83
ECH,iShares MSCI Chile ETF,27.43,+0.37,+1.37%,"263,933",27.47,26.41
DWAS,Invesco DWA SmallCap Momentum ETF,89.39,+1.19,+1.35%,"82,810",86.71,82.60
PHO,Invesco Water Resources ETF,67.13,+0.89,+1.34%,"139,386",66.13,61.00
IDX,VanEck Indonesia Index ETF,16.73,+0.22,+1.33%,"11,767",16.04,16.45
SPHB,Invesco S&P 500 High Beta ETF,88.42,+1.15,+1.32%,"203,784",84.25,79.58
XLY,The Consumer Discretionary Select Sector SPDR Fund,191.49,+2.47,+1.31%,2.665M,180.23,174.15
EUDG,WisdomTree Europe Quality Dividend Growth Fund,33.33,+0.43,+1.29%,"4,076",32.83,31.30
QTUM,Defiance Quantum ETF,65.85,+0.83,+1.28%,"35,422",62.34,56.08
SMH,VanEck Semiconductor ETF,274.45,+3.43,+1.27%,8.388M,248.73,199.55
GXG,Global X MSCI Colombia ETF,25.86,+0.32,+1.25%,"3,229",25.92,23.64
IDHQ,Invesco S&P International Developed Quality ETF,31.52,+0.39,+1.25%,"30,511",30.71,28.88
XTL,SPDR S&P Telecom ETF,81.23,+1.00,+1.24%,"9,492",75.28,73.47
NUMG,Nuveen ESG Mid-Cap Growth ETF,42.56,+0.52,+1.24%,"14,473",42.33,41.01
SOXX,iShares Semiconductor ETF,259.89,+3.13,+1.22%,2.845M,239.40,203.01
NUDM,Nuveen ESG International Developed Markets Equity ETF,32.69,+0.39,+1.21%,"30,396",31.39,29.55
PSCC,Invesco S&P SmallCap Consumer Staples ETF,35.97,+0.42,+1.19%,"2,816",35.96,36.11
MOTG,VanEck Morningstar Global Wide Moat ETF,37.19,+0.44,+1.18%,140,36.21,34.68
GAA,Cambria Global Asset Allocation ETF,29.09,+0.34,+1.18%,"1,225",28.70,27.80
PRN,Invesco Dorsey Wright Industrials Momentum ETF,139.80,+1.63,+1.18%,"3,734",135.93,122.72
XSD,SPDR S&P Semiconductor ETF,266.09,+3.10,+1.18%,"27,770",244.81,218.73
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,84.44,+0.98,+1.17%,"43,271",80.37,77.05
IQLT,iShares MSCI Intl Quality Factor ETF,40.51,+0.47,+1.17%,"634,494",39.56,37.42
ESGD,iShares ESG Aware MSCI EAFE ETF,81.96,+0.95,+1.17%,"177,157",80.17,75.68
ETHO,Amplify Etho Climate Leadership U.S. ETF,58.54,+0.68,+1.17%,"4,962",56.49,54.24
PSI,Invesco Semiconductors ETF,65.48,+0.75,+1.16%,"62,695",60.32,51.47
HEDJ,WisdomTree Europe Hedged Equity Fund,46.45,+0.53,+1.15%,"223,168",46.89,44.16
OMFS,Invesco Russell 2000 Dynamic Multifactor ETF,36.85,+0.42,+1.15%,"23,590",36.45,35.90
SDG,iShares MSCI Global Sustainable Development Goals ETF,78.69,+0.89,+1.14%,"15,279",78.16,76.84
SLX,VanEck Steel ETF,69.18,+0.78,+1.14%,"7,324",69.00,68.89
QLD,ProShares Ultra QQQ,106.13,+1.19,+1.13%,3.174M,94.62,79.85
CWS,AdvisorShares Focused Equity ETF,64.09,+0.72,+1.13%,"6,866",62.49,58.91
IQIN,IQ 500 International ETF,34.09,+0.38,+1.13%,"36,333",34.02,32.66
FLLA,Franklin FTSE Latin America ETF,21.48,+0.24,+1.12%,"7,549",21.74,22.69
NUSC,Nuveen ESG Small-Cap ETF,40.94,+0.45,+1.11%,"46,841",39.69,38.00
FNX,First Trust Mid Cap Core AlphaDEX Fund,112.02,+1.23,+1.11%,"148,584",109.35,102.75
IFRA,iShares U.S. Infrastructure ETF,43.73,+0.48,+1.11%,"134,835",43.08,40.14
PAVE,Global X U.S. Infrastructure Development ETF,38.27,+0.42,+1.11%,1.077M,37.95,35.17
FTEC,Fidelity MSCI Information Technology Index ETF,178.65,+1.96,+1.11%,"248,252",164.85,147.86
IEFA,iShares Core MSCI EAFE ETF,75.72,+0.83,+1.11%,7.009M,74.19,70.27
REGL,ProShares S&P MidCap 400 Dividend Aristocrats ETF,76.15,+0.83,+1.10%,"29,608",75.05,72.57
XMHQ,Invesco S&P MidCap Quality ETF,100.33,+1.09,+1.10%,1.012M,102.98,94.73
IHF,iShares U.S. Healthcare Providers ETF,53.04,+0.57,+1.09%,"70,324",52.41,51.95
SLYG,SPDR S&P 600 Small Cap Growth ETF,89.40,+0.96,+1.09%,"129,712",86.23,81.32
TLTD,FlexShares Morningstar Developed Markets ex-US Factor Tilt Index Fund,72.92,+0.78,+1.08%,"6,120",71.65,67.88
FXZ,First Trust Materials AlphaDEX Fund,66.44,+0.71,+1.08%,"21,224",67.28,66.05
PICK,iShares MSCI Global Metals & Mining Producers ETF,42.49,+0.45,+1.07%,"114,969",42.71,41.00
DDWM,WisdomTree Dynamic Currency Hedged International Equity Fund,35.37,+0.37,+1.06%,"19,154",34.65,32.64
ISCF,iShares MSCI Intl Small-Cap Multifactor ETF,33.56,+0.35,+1.05%,"18,420",32.98,31.49
CIBR,First Trust NASDAQ Cybersecurity ETF,57.68,+0.60,+1.05%,"478,657",55.24,53.09
JPSE,JPMorgan Diversified Return U.S. Small Cap Equity ETF,45.52,+0.47,+1.05%,"28,071",44.09,42.37
SMMD,iShares Russell 2500 ETF,64.96,+0.67,+1.04%,"38,065",63.07,60.05
SCHD,Schwab U.S. Dividend Equity ETF,79.64,+0.82,+1.04%,3.211M,78.14,75.67
RZV,Invesco S&P SmallCap 600 Pure Value ETF,103.02,+1.06,+1.04%,"21,284",101.88,99.22
SCHF,Schwab International Equity ETF,40.03,+0.41,+1.03%,2.513M,39.07,36.96
IDEV,iShares Core MSCI International Developed Markets ETF,68.44,+0.70,+1.03%,"719,804",67.03,63.55
INDS,Pacer Benchmark Industrial Real Estate SCTR ETF,40.30,+0.41,+1.03%,"17,974",37.64,37.79
IJH,iShares Core S&P Mid-Cap ETF,60.42,+0.61,+1.02%,8.102M,58.93,55.38
CZA,Invesco Zacks Mid-Cap ETF,100.02,+1.01,+1.02%,619,98.50,93.47
FLQM,Franklin U.S. Mid Cap Multifactor Index ETF,52.45,+0.52,+1.00%,"63,327",51.49,48.49
OUSM,ALPS O'Shares U.S. Small-Cap Quality Dividend ETF Shares,42.47,+0.42,+1.00%,"46,897",41.35,39.08
DBEU,Xtrackers MSCI Europe Hedged Equity ETF,42.49,+0.42,+1.00%,"15,158",42.00,38.83
VB,Vanguard Small-Cap Index Fund ETF Shares,225.85,+2.22,+0.99%,"771,374",220.11,209.08
GSSC,Goldman Sachs ActiveBeta U.S. Small Cap Equity ETF,66.28,+0.65,+0.99%,"24,551",63.60,60.87
DIVI,Franklin International Core Dividend Tilt Index ETF,32.63,+0.32,+0.99%,"88,499",32.22,30.56
XSMO,Invesco S&P SmallCap Momentum ETF,62.80,+0.61,+0.98%,"266,345",60.42,55.69
SPSM,SPDR Portfolio S&P 600 Small Cap ETF,43.28,+0.42,+0.98%,1.343M,41.90,40.21
PKW,Invesco BuyBack Achievers ETF,105.27,+1.02,+0.98%,"9,608",103.83,99.01
IPAC,iShares Core MSCI Pacific ETF,64.00,+0.62,+0.98%,"170,928",61.81,59.65
IMCG,iShares Morningstar Mid-Cap Growth ETF,69.40,+0.67,+0.97%,"82,166",68.06,64.44
RWJ,Invesco S&P SmallCap 600 Revenue ETF,41.45,+0.40,+0.97%,"98,134",40.82,39.44
DSTL,Distillate U.S. Fundamental Stability & Value ETF,52.69,+0.51,+0.97%,"43,923",51.68,49.55
CSA,VictoryShares US Small Cap Volatility Wtd ETF,69.75,+0.67,+0.97%,383,67.65,64.31
VBR,Vanguard Small-Cap Value Index Fund ETF Shares,189.22,+1.82,+0.97%,"470,104",184.90,176.04
VAW,Vanguard Materials Index Fund ETF Shares,198.68,+1.91,+0.97%,"47,659",197.59,187.89
EES,WisdomTree U.S. SmallCap Earnings Fund,49.23,+0.47,+0.97%,"10,902",47.84,46.68
IWR,iShares Russell Mid-Cap ETF,83.39,+0.80,+0.97%,"899,848",81.56,77.22
XMMO,Invesco S&P MidCap Momentum ETF,116.93,+1.12,+0.97%,"317,202",114.00,99.08
PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,39.69,+0.38,+0.97%,"82,190",38.38,36.30
RNSC,First Trust Small Cap US Equity Select ETF,28.51,+0.27,+0.96%,"1,513",27.78,27.26
JHMM,John Hancock Multifactor Mid Cap ETF,56.64,+0.54,+0.96%,"111,461",55.46,52.45
IJR,iShares Core S&P Small-Cap ETF,111.29,+1.06,+0.96%,4.617M,107.59,103.15
XLB,The Materials Select Sector SPDR Fund,90.50,+0.86,+0.96%,3.999M,89.97,85.43
